,State,City,GWT (F),Continent
0,Alabama,Birmingham,65,North-America
1,Alabama,Mobile,70,North-America
2,Alabama,Montgomery,67,North-America
3,Alaska,Anchorage,40,North-America
4,Alaska,Fairbanks,0,North-America
5,Arizona,Phoenix,73,North-America
6,Arkansas,Little Rock,64,North-America
7,California,Fresno,68,North-America
8,California,Los Angeles,64,North-America
9,California,Sacramento,67,North-America
10,California,San Diego,64,North-America
11,California,San Francisco,60,North-America
12,Colorado,Denver,52,North-America
13,Connecticut,Hartford,51,North-America
14,Delaware,Dover,57,North-America
15,Florida,Daytona Beach,70,North-America
16,Florida,Jacksonville,71,North-America
17,Florida,Miami,78,North-America
18,Florida,Tallahassee,69,North-America
19,Florida,Tampa,75,North-America
20,Georgia,Atlanta,62,North-America
21,Georgia,Savannah,67,North-America
22,Hawaii,Honolulu,79,North-America
23,Idaho,Boise,47,North-America
24,Illinois,Chicago,51,North-America
25,Illinois,Springfield,56,North-America
26,Indiana,Fort Wayne,53,North-America
27,Indiana,Indianapolis,55,North-America
28,Iowa,Des Moines,53,North-America
29,Kansas,Wichita,59,North-America
30,Ohio,Cincinatti,57,North-America
31,Kentucky,Lexington,60,North-America
32,Kentucky,Louisville,60,North-America
33,Louisiana,New Orleans,70,North-America
34,Louisiana,Shreveport,66,North-America
35,Maine,Caribou,46,North-America
36,Maine,Portland,48,North-America
37,Maryland,Baltimore,57,North-America
38,Massachusetts,Boston,50,North-America
39,Massachusetts,Worchester,50,North-America
40,Michigan,Detroit,50,North-America
41,Michigan,Flint,49,North-America
42,Michigan,Grand Rapids,46,North-America
43,Minnesota,Duluth,41,North-America
44,Minnesota,Minneapolis,47,North-America
45,Mississippi,Jackson,67,North-America
46,Missouri,Kansas City,58,North-America
47,Missouri,St. Louis,58,North-America
48,Montana,Billings,49,North-America
49,Montana,Helena,47,North-America
50,Nebraska,Omaha,53,North-America
51,Nevada,Las Vegas,69,North-America
52,Nevada,Reno,50,North-America
53,New Hampshire,Concord,50,North-America
54,New Jersey,Trenton,55,North-America
55,New Mexico,Albuquerque,59,North-America
56,New York,Albany,50,North-America
57,New York,Buffalo,50,North-America
58,New York,New York City,52,North-America
59,North Carolina,Asheville,59,North-America
60,North Carolina,Charlotte,62,North-America
61,North Carolina,Greensboro,60,North-America
62,North Carolina,Raleigh,62,North-America
63,North Dakota,Bismarck,44,North-America
64,North Dakota,Fargo,42,North-America
65,Ohio,Cleveland,51,North-America
66,Ohio,Columbus,55,North-America
67,Ohio,Dayton,50,North-America
68,Oklahoma,Oklahoma City,62,North-America
69,Oregon,Portland,54,North-America
70,Pennsylvania,Harrisburg,52,North-America
71,Pennsylvania,Philadelphia,55,North-America
72,Pennsylvania,Pittsburgh,52,North-America
73,South Carolina,Charleston,66,North-America
74,South Carolina,Columbia,64,North-America
75,South Carolina,Greenville,62,North-America
76,South Dakota,Sioux Falls,51,North-America
77,Tennessee,Knoxville,61,North-America
78,Tennessee,Memphis,63,North-America
79,Tennessee,Nashville,60,North-America
80,Texas,Austin,71,North-America
81,Texas,Dallas,68,North-America
82,Texas,Houston,71,North-America
83,Texas,San Antonio,72,North-America
84,Utah,Salt Lake City,53,North-America
85,Vermont,Burlington,46,North-America
86,Virginia,Norfolk,61,North-America
87,Virginia,Richmond,60,North-America
88,Virginia,Roanoke,59,North-America
89,DC,Washington,57,North-America
90,Washington,Seattle,53,North-America
91,Washington,Spokane,49,North-America
92,West Virginia,Charleston,58,North-America
93,Wisconsin,La Crosse,48,North-America
94,Wisconsin,Milwaukee,47,North-America
95,Wyoming,Cheyenne,48,North-America
96,Alberta,Calgary,42,North-America
97,Alberta,Edmonton,40,North-America
98,British Columbia,Vancouver,53,North-America
99,Manitoba,Winnipeg,40,North-America
100,New Brunswick,Moncton,42,North-America
101,Newfoundland,Saint John's,43,North-America
102,Nova Scotia,Halifax,45,North-America
103,Ontario,Ottawa,45,North-America
104,Ontario,Toronto,48,North-America
105,Prince Edward Island,Charlottetown,42,North-America
106,Quebec,Montreal,46,North-America
107,Saskatchewan,Regina,39,North-America
108,Argentina,Buenos Aires,64,South-America
109,Australia,Adelaide,64,Oceania
110,Australia,Brisbane,72,Oceania
111,Australia,Canberra,67,Oceania
112,Australia,Melbourne,59,Oceania
113,Australia,Perth,67,Oceania
114,Australia,Sydney,67,Oceania
115,Austria,Salzburg,51,Europe
116,Austria,Vienna,50,Europe
117,Bahrain,Manama,80,Asia
118,Belgium,Brussels,52,Europe
119,Bolivia,La Paz,50,South-America
120,Brazil,Belem,82,South-America
121,Brazil,Brasilia,80,South-America
122,Brazil,Recife,78,South-America
123,Brazil,Sao Paulo,78,South-America
124,Bulgaria,Sofia,55,Europe
125,Chile,Santiago,61,South-America
126,China,Beijing,58,Asia
127,China,Guangzhou,77,Asia
128,China,Harbin,53,Asia
129,China,Hong Kong,77,Asia
130,China,Shanghai,62,Asia
131,China,Shenyang,55,Asia
132,Colombia,Bogota,58,South-America
133,Cuba,Havana,77,North-America
134,Czech Republic,Prague,50,Europe
135,Denmark,Copenhagen,47,Europe
136,Ecuador,Quito,60,South-America
137,Egypt,Aswan,78,Africa
138,Egypt,Cairo,73,Africa
139,Finland,Helsinki,47,Europe
140,France,Bordeaux,61,Europe
141,France,Lyon,57,Europe
142,France,Marseille,59,Europe
143,France,Nantes,56,Europe
144,France,Paris,54,Europe
145,Germany,Berlin,52,Europe
146,Germany,Frankfurt,52,Europe
147,Germany,Hamburg,51,Europe
148,Germany,Munich,49,Europe
149,Germany,Stuttgart,51,Europe
150,Greece,Athens,67,Europe
151,Hungary,Budapest,53,Europe
152,Indonesia,Jakarta,83,Asia
153,Ireland,Dublin,52,Europe
154,Israel,Jerusalem,63,Asia
155,Italy,Genova,60,Europe
156,Italy,Milan,57,Europe
157,Italy,Naples,63,Europe
158,Italy,Palermo,66,Europe
159,Italy,Rome,61,Europe
160,Italy,Torino,58,Europe
161,Italy,Trieste,58,Europe
162,Italy,Venice,58,Europe
163,Japan,Nagoya,62,Asia
164,Japan,Osaka,63,Asia
165,Japan,Sapporo,51,Asia
166,Japan,Tokyo,64,Asia
167,Korea,Inch'on,56,Asia
168,Korea,Pusan,59,Asia
169,Korea,Seoul,57,Asia
170,Kuwait,Kuwait City,80,Asia
171,Libyan Arab Jamahiriya,Tripoli,71,Africa
172,Malaysia,George Town,84,Asia
173,Malaysia,Kuala Lumpur,83,Asia
174,Mexico,Acapulco,78,North-America
175,Mexico,Mexico City,65,North-America
176,Mexico,Veracruz,75,North-America
177,Morocco,Casablanca,66,Africa
178,Netherlands,Amsterdam,52,Europe
179,New Zealand,Auckland,56,Oceania
180,New Zealand,Christchurch,54,Oceania
181,New Zealand,Wellington,57,Oceania
182,Norway,Oslo,46,Europe
183,Paraguay,Asuncion,64,South-America
184,Peru,Lima,70,South-America
185,Philippines,Manila,67,Asia
186,Poland,Krakow,48,Europe
187,Poland,Warsaw,49,Europe
188,Portugal,Porto,64,Europe
189,Puerto Rico,San Juan,84,North-America
190,Qatar,Doha,83,Asia
191,Romania,Bucharest,54,Europe
192,Saudi Arabia,Riyadh,82,Asia
193,Singapore,Singapore,82,Asia
194,Spain,Barcelona,62,Europe
195,Spain,Madrid,60,Europe
196,Spain,Sevilla,67,Europe
197,Spain,Valencia,65,Europe
198,Sweden,Stockholm,47,Europe
199,Switzerland,Geneva,53,Europe
200,Syria,Damascus,71,Asia
201,Taiwan,Taipei,75,Asia
202,Thailand,Bangkok,85,Asia
203,Tunisia,Tunis,69,Africa
204,Turkey,Ankara,52,Asia
205,Turkey,Istanbul,60,Asia
206,Turkey,Izmir,64,Asia
207,United Arab Emirates,Abu Dhabi,80,Asia
208,United Arab Emirates,Dubai,80,Asia
209,United Kingdom,Aberdeen,49,Europe
210,United Kingdom,Belfast,51,Europe
211,United Kingdom,Birmingham,52,Europe
212,United Kingdom,Edinburgh,50,Europe
213,United Kingdom,Liverpool,54,Europe
214,United Kingdom,London,54,Europe
215,Uruguay,Montevideo,64,South-America
216,Venezuela,Caracas,78,South-America
217,Vietnam,Hanoi,84,Asia
218,Yugoslavia,Belgrade,55,Europe
